,Name,Duration,Genre,Rating,No. of Ratings,No. of Episodes,Creators,Stars,Reviews (Users),Reviews (Critics),Seasons,Storyline,Language,Release Date
393,What the Folks,25min,"['Comedy', 'Drama']",8.2,1546,17,,"['Eisha Chopra', 'Veer Rajwant Singh', 'Deepika Amin']",9,,3,"The show encapsulates the struggles of Nikhil, a young man who is forced to live with his in-laws for a few weeks. Nikhil's bittersweet interactions with his wife's family, peppered with the stark differences in their lifestyles, will remind you of your own family and leave you with a smile on your face.",English,16 August 2017 (India)
394,Rudrakaal,,['Action'],8.4,74,1,,"['Bijay Anand', 'Padam Bhola', 'Ajit Bhure']",5,,1,"Suspended IPS officer Ranjan, aka Cheetah, is on a mission to find his mentor's killer. Juggling his personal and professional demons, he is in for a surprise.",Hindi,7 March 2021 (India)
395,F**k Buddies,12min,['Drama'],4.7,45,0,,"['Aarti', 'Arjun', 'Jaytesh Calpakkam']",1,,,"F*ck Buddies, we see a middle-aged man on his couch drinking a glass of scotch, when his daughter walks in, sits next to him and takes a swig. ""How's your sex life?,"" he asks her, matter-of-factly. They drone on about his date and her new friends and when the scene ends, she replies, ""to answer your question, it's going pretty amazing."" The effect the show is going for is cool and casual; just a father-daughter duo knocking back after a tough day at work. But then you watch it again and notice that there's nothing else in the scene. It doesn't lead to anything nor does it reveal something new about Jiah (Jikki Nair), the show's protagonist. And when you realize that the father doesn't get a second scene in the show, you sense a problem. The scene was written exclusively for its shock value. Which is ok if the show was trying to achieve something that was truly shocking. Even its central concept, about two friends ""benefitting"" with no strings attached, isn't exactly fresh. Other than ...",Tamil,27 September 2018 (India)
396,Red Panty,26min,['Drama'],,,0,,['Kamalika Chanda'],1,,,Red Panty is thriller web series featuring story of Indian housewife taking revenge from her husband.,Hindi,January 2019 (India)
397,Parvarrish: Kuchh Khattee Kuchh Meethi,,"['Drama', 'Family']",7.5,86,388,,"['Athar Siddiqui', 'Aaryan Harnot', 'Shweta Tiwari']",,,1,"The Ahluwalias and the Ahujas are two families who are related but believe in different parenting approaches. While Sweety Ahluwalia is strict, her sister Pinky believes in a friendly approach.",Hindi,21 November 2011 (India)
398,21 Sarfarosh Saragarhi 1897,18min,['War'],8.2,356,3,['Abhimanyu Raj Singh'],"['Harry Chauhan', 'Paras Raajj Ganndhhi', 'Sooraj Ohri']",17,,1,A chronicle of the lives and events that led to the brave and epic last stand of the 21 soldiers of the 36th Sikh regiment of the British Indian Army against thousands of Afghani invaders in the September of 1897.,Hindi,12 February 2018 (India)
399,Only for Singles,22min,['Comedy'],6.5,57,13,,"['Pooja Banerjee', 'Gulshan Nain', 'Deepti Sati']",1,,1,"A Gen-Z comedy about struggles of 6 young singles who move to Mumbai, chasing their dreams, just to end up sharing a flat and the rollercoasters of their lives with each other.",Hindi,28 June 2019 (India)
400,Dharam Veer,20min,['Adventure'],8.8,56,156,,"['Mugdha Chaphekar', 'Vikrant Massey', 'Rajat Tokas']",2,,1,"A fictional tale of two princes, named Dharam and Veer, and their adventures as they traverse the path of life.",Hindi,2008 (India)
401,Thatteem Mutteem,30min,['Comedy'],8.4,54,725,,"['K.P.A.C. Lalitha', 'Jayakumar Parameshwaran Pillai', 'Prabhu Sidharth']",,,9,The series depicts the love-hate relationship between a mother-in-law and a daughter-in-law in a standard family.,Malayalam,2012 (India)
402,Buniyaad,,['Drama'],8.6,227,110,,"['Alok Nath', 'Anita Kanwar', 'Kiran Juneja']",4,,1,The series dealt with the struggle of a family during the partition of India in 1947 and its aftermath.,Hindi,1987 (India)
403,Mighty Little Bheem,6min,"['Animation', 'Short', 'Adventure']",6.6,199,64,,,23,1,3,An innocent toddler's boundless curiosity - and extraordinary might - lead to mischief and adventure in his small Indian town.,Hindi,12 April 2019 (USA)
404,Mariam Khan - Reporting Live,20min,['Drama'],6.7,31,169,,"['Anju Mahendru', 'Mahima Makwana', 'Param Singh']",4,,1,"The show has a Muslim background and tells the tale of the Nawabs of Bhopal from the eyes of an 8 year old dyslexic girl, Mariam, who wants to become a reporter when she grows up just like her father.",Hindi,2018 (India)
405,Bamini and Boys,,['Romance'],6.9,64,3,,"['Vidya Malvade', 'Akashdeep Arora', 'Rishab Chadha']",8,,1,"Three boys rent a flat out of their budget from an attractive woman. Bitten by the love bug, they compete to woo her, only to land in hilarious situations.",Hindi,7 May 2021 (India)
406,Des Mein Niklla Hoga Chand,42min,"['Drama', 'Romance']",5.5,51,179,,"['Sangeeta Ghosh', 'Varun Badola', 'Arun Bali']",,,1,"Centered around the lives of NRIs settled in London, Des Mein Niklla Hoga Chand weaves together the emotions and drama in the family of Pritam Singh, his children and grandchildren. Pritam Singh has been living in the UK for over 50 years. But his heart yearns for the sights and sounds of his country, his heart and soul lie there. The serial centers around Parminder - affectionately called Pammi - who lives in London with her family. Deeply moored in family values and traditions, Pammi experiences love when she meets Dev in Chandigarh, during her cousin's wedding. But Pammi is engaged to Rohan, a doctor based in London. Dev, however, decides to go to London in search of the woman he loves. Will their love triumph? Watch Des Mein Niklla Hoga Chand to find out. A must-watch for fans of Sukhwinder - the serial also contains songs specially composed by him.",Hindi,29 October 2001 (India)
407,Son Pari,,"['Drama', 'Family', 'Fantasy']",6.8,735,266,,"['Mrinal Kulkarni', 'Tanvi Hegde', 'Kaivalya Chheda']",,,1,A motherless child finds hope and care in a fairy.,Hindi,28 February 2001 (India)
408,Fauji,,"['Action', 'Drama']",8.2,2793,13,,"['Shah Rukh Khan', 'Rakesh Sharma', 'Vikram Chopra']",7,,1,"Fauji is a TV series which follows the training of a group of soldiers with Lt. Abhimanyu (Shahrukh Khan) as the lead as they work their way to becoming commandos in the Indian Army. Filmed on location and directed by R. K. Kapoor with support from Vikram Chopra and Rakesh Sharma, Fauji provides a realistic and at times humorous look at the lengths that soldiers must go to in order that they realize their dream of serving in India's most elite fighting force.",Hindi,18 January 1988 (India)
409,Om Namah Shivay,,"['Drama', 'Fantasy']",7.9,228,206,,"['Samar Jai Singh', 'Gayatri Shastri', 'Manjeet Kular']",1,,1,The Hindu Mythological saga of Lord Shiva.,Hindi,1997 (India)
